,"{instance=""52.152.206.214:443"",job=""kubernetes-apiservers""}"
2023-12-20 23:08:54,5.74683136
2023-12-20 23:09:54,6.377496576
2023-12-20 23:10:54,8.115961856
2023-12-20 23:11:54,8.207511552
2023-12-20 23:12:54,8.768786432
2023-12-20 23:13:54,6.611816448
2023-12-20 23:14:54,5.978177536
2023-12-20 23:15:54,5.986557952
2023-12-20 23:16:54,5.99007232
2023-12-20 23:17:54,6.030082048
2023-12-20 23:18:54,6.04278784
2023-12-20 23:19:54,6.05433856
2023-12-20 23:20:54,6.056230912
2023-12-20 23:21:54,5.776252928
2023-12-20 23:22:54,5.725200384
2023-12-20 23:23:54,5.500760064
2023-12-20 23:24:54,6.097190912
2023-12-20 23:25:54,5.400707072
2023-12-20 23:26:54,4.990263296
2023-12-20 23:27:54,5.232422912
2023-12-20 23:28:54,5.605019648
2023-12-20 23:29:54,5.605019648
2023-12-20 23:30:54,5.308952576
2023-12-20 23:31:54,5.308952576
2023-12-20 23:32:54,5.314220032
2023-12-20 23:33:54,5.329809408
2023-12-20 23:34:54,5.329809408
2023-12-20 23:35:54,5.398986752
2023-12-20 23:36:54,5.550206976
2023-12-20 23:37:54,5.550206976
2023-12-20 23:38:54,5.550477312
2023-12-20 23:39:54,5.51426048
2023-12-20 23:40:54,5.51426048
2023-12-20 23:41:54,5.228404736
2023-12-20 23:42:54,5.230833664
2023-12-20 23:43:54,5.230546944
