,"{container=""discovery""}"
2023-12-20 23:08:54,0.149696512
2023-12-20 23:09:54,1.626005504
2023-12-20 23:10:54,3.390595072
2023-12-20 23:11:54,6.291816448
2023-12-20 23:12:54,8.5612544
2023-12-20 23:13:54,9.650884608
2023-12-20 23:14:54,10.533617664
2023-12-20 23:15:54,11.150934016
2023-12-20 23:16:54,11.787067392
2023-12-20 23:17:54,12.612206592
2023-12-20 23:18:54,12.640403456
2023-12-20 23:19:54,13.752020992
2023-12-20 23:20:54,13.751300096
2023-12-20 23:21:54,13.025046528
2023-12-20 23:22:54,13.068009472
2023-12-20 23:23:54,13.546180608
2023-12-20 23:24:54,15.959482368
2023-12-20 23:25:54,16.947187712
2023-12-20 23:26:54,17.265803264
2023-12-20 23:27:54,18.206150656
2023-12-20 23:28:54,18.212667392
2023-12-20 23:29:54,18.214408192
2023-12-20 23:30:54,18.214711296
2023-12-20 23:31:54,15.766089728
2023-12-20 23:32:54,15.782567936
2023-12-20 23:33:54,15.856910336
2023-12-20 23:34:54,15.858204672
2023-12-20 23:35:54,15.860166656
2023-12-20 23:36:54,15.860903936
2023-12-20 23:37:54,15.87894272
2023-12-20 23:38:54,15.931830272
2023-12-20 23:39:54,16.08087552
2023-12-20 23:40:54,16.09404416
2023-12-20 23:41:54,16.284516352
2023-12-20 23:42:54,16.2939904
2023-12-20 23:43:54,16.318738432
