,"{container=""coredns""}"
2023-12-20 23:08:54,0.045871104
2023-12-20 23:09:54,0.04612096
2023-12-20 23:10:54,0.046501888
2023-12-20 23:11:54,0.04554752
2023-12-20 23:12:54,0.047693824
2023-12-20 23:13:54,0.047448064
2023-12-20 23:14:54,0.045531136
2023-12-20 23:15:54,0.046792704
2023-12-20 23:16:54,0.046190592
2023-12-20 23:17:54,0.045236224
2023-12-20 23:18:54,0.045924352
2023-12-20 23:19:54,0.04620288
2023-12-20 23:20:54,0.045879296
2023-12-20 23:21:54,0.046493696
2023-12-20 23:22:54,0.045768704
2023-12-20 23:23:54,0.045334528
2023-12-20 23:24:54,0.04624384
2023-12-20 23:25:54,0.046522368
2023-12-20 23:26:54,0.047030272
2023-12-20 23:27:54,0.046104576
2023-12-20 23:28:54,0.045715456
2023-12-20 23:29:54,0.044720128
2023-12-20 23:30:54,0.046399488
2023-12-20 23:31:54,0.046415872
2023-12-20 23:32:54,0.046030848
2023-12-20 23:33:54,0.046759936
2023-12-20 23:34:54,0.046424064
2023-12-20 23:35:54,0.045391872
2023-12-20 23:36:54,0.0457728
2023-12-20 23:37:54,0.04575232
2023-12-20 23:38:54,0.046485504
2023-12-20 23:39:54,0.046317568
2023-12-20 23:40:54,0.04583424
2023-12-20 23:41:54,0.045883392
2023-12-20 23:42:54,0.045969408
2023-12-20 23:43:54,0.045330432
