,"{namespace=""cluster-loader""}","{namespace=""test-ylwngn-1""}"
2023-12-20 23:09:54,0.0,265.7118843557644
2023-12-20 23:10:54,13.902126984126983,6121.939622351385
2023-12-20 23:11:54,21.811704242424245,14113.281933553406
2023-12-20 23:12:54,25.6582526984127,17748.46887341203
2023-12-20 23:13:54,42.07532397660819,55689.12377919266
2023-12-20 23:14:54,50.121294334650855,67995.40581977752
2023-12-20 23:15:54,49.797477682811014,66508.8820120851
2023-12-20 23:16:54,49.55944487455197,65974.8319257881
2023-12-20 23:17:54,49.37709086834734,65862.2723427006
2023-12-20 23:18:54,49.23292343679712,65953.83237560405
2023-12-20 23:19:54,49.11608357327427,65790.56529338153
2023-12-20 23:20:54,49.0194733271662,65459.56200491359
2023-12-20 23:21:54,48.93825715032679,65244.69773106392
2023-12-20 23:22:54,48.86902698092031,65099.482056010354
2023-12-20 23:23:54,48.80925579001943,64981.11137743626
2023-12-20 23:24:54,48.75727571257894,65377.67043356378
2023-12-20 23:25:54,60.88940901552842,110520.53918777392
2023-12-20 23:26:54,73.00648724346077,147590.6067587596
2023-12-20 23:27:54,72.95223841441441,146795.84070193235
2023-12-20 23:28:54,72.90353859136644,146713.72476129918
2023-12-20 23:29:54,72.85957778430796,146149.40145859547
2023-12-20 23:30:54,72.81969633787757,145851.41166826483
2023-12-20 23:31:54,72.78335159951159,145634.02600291753
2023-12-20 23:32:54,72.75009307950728,145462.77042719154
2023-12-20 23:33:54,72.71954368171511,145322.13037714938
2023-12-20 23:34:54,72.69138534170949,145203.41438046357
2023-12-20 23:35:54,72.66534791042143,145101.17892719086
2023-12-20 23:36:54,72.64120045864045,145068.23696812746
2023-12-20 23:37:54,76.66237949656751,145747.93267648533
2023-12-20 23:38:54,80.66147211698238,147254.6113350679
2023-12-20 23:39:54,80.63982463903326,149535.0584638898
2023-12-20 23:40:54,80.61954915635545,152546.30882668693
2023-12-20 23:41:54,84.63316949696613,156286.94688976646
2023-12-20 23:42:54,84.6142991560715,160115.334730179
2023-12-20 23:43:54,84.59652105793626,163805.36044784402
