,"{container=""coredns""}"
2023-12-21 06:49:50,1.0
2023-12-21 06:50:50,1.0
2023-12-21 06:51:50,1.0
2023-12-21 06:52:50,1.0
2023-12-21 06:53:50,1.0
2023-12-21 06:54:50,1.0
2023-12-21 06:55:50,1.0
2023-12-21 06:56:50,1.0
2023-12-21 06:57:50,1.0
2023-12-21 06:58:50,1.0
2023-12-21 06:59:50,1.0
2023-12-21 07:00:50,1.0
2023-12-21 07:01:50,1.0
2023-12-21 07:02:50,1.0
2023-12-21 07:03:50,1.0
2023-12-21 07:04:50,1.0
2023-12-21 07:05:50,1.0
2023-12-21 07:06:50,1.0
