,"{container=""discovery""}"
2023-12-21 04:17:29,0.18190336
2023-12-21 04:18:29,1.401319424
2023-12-21 04:19:29,4.098592768
2023-12-21 04:20:29,6.910865408
2023-12-21 04:21:29,8.98758656
2023-12-21 04:22:29,12.26334208
2023-12-21 04:23:29,13.388865536
2023-12-21 04:24:29,15.321411584
2023-12-21 04:25:29,18.420355072
2023-12-21 04:26:29,19.857137664
2023-12-21 04:27:29,19.888664576
2023-12-21 04:28:29,20.70652928
2023-12-21 04:29:29,22.00168448
2023-12-21 04:30:29,23.155105792
2023-12-21 04:31:29,23.97544448
2023-12-21 04:32:29,24.938561536
2023-12-21 04:33:29,26.257661952
2023-12-21 04:34:29,27.436978176
2023-12-21 04:35:29,28.529565696
2023-12-21 04:36:29,28.613439488
2023-12-21 04:37:29,28.686651392
2023-12-21 04:38:29,28.737028096
2023-12-21 04:39:29,28.743581696
2023-12-21 04:40:29,28.744904704
2023-12-21 04:41:29,28.938399744
2023-12-21 04:42:29,28.938399744
2023-12-21 04:43:29,28.938399744
2023-12-21 04:44:29,28.938399744
2023-12-21 04:45:29,28.938399744
2023-12-21 04:46:29,5.845037056
2023-12-21 04:47:29,6.866481152
2023-12-21 04:48:29,7.983669248
2023-12-21 04:49:29,8.76865536
2023-12-21 04:50:29,9.535193088
2023-12-21 04:51:29,10.303504384
2023-12-21 04:52:29,11.40576256
2023-12-21 04:53:29,12.27948032
2023-12-21 04:54:29,13.186072576
