,"{namespace=""cluster-loader""}","{namespace=""test-47lueu-1""}"
2023-12-21 06:50:50,11.308999094648454,1734.7409090284857
2023-12-21 06:51:50,23.3354,20514.460105997394
2023-12-21 06:52:50,35.3354,53602.9230785756
2023-12-21 06:53:50,47.33457252347485,104044.07193510735
2023-12-21 06:54:50,59.3354,166591.97084763699
2023-12-21 06:55:50,71.33539999999999,246604.14339030482
2023-12-21 06:56:50,83.33539999999999,338708.9271377604
2023-12-21 06:57:50,95.3354,433558.32204492926
2023-12-21 06:58:50,107.33540000000002,530461.5093666252
2023-12-21 06:59:50,118.33186666666668,628059.7341690236
2023-12-21 07:00:50,130.33206469933427,726789.4778542246
2023-12-21 07:01:50,142.33246808510637,825138.5578103322
2023-12-21 07:02:50,153.35103137254902,923743.4056599766
2023-12-21 07:03:50,165.32397479236815,1022470.461948274
2023-12-21 07:04:50,177.3247598090785,1120604.209483406
2023-12-21 07:05:50,189.3254438812084,1219070.4602806584
2023-12-21 07:06:50,201.32570835632762,1317497.2147446189
