,"{container=""istio-proxy""}"
2023-12-21 06:50:50,0.056963072
2023-12-21 06:51:50,0.062406656
2023-12-21 06:52:50,0.065343488
2023-12-21 06:53:50,0.0666624
2023-12-21 06:54:50,0.06682624
2023-12-21 06:55:50,0.073670656
2023-12-21 06:56:50,0.073744384
2023-12-21 06:57:50,0.073744384
2023-12-21 06:58:50,0.073752576
2023-12-21 06:59:50,0.073744384
2023-12-21 07:00:50,0.07804928
2023-12-21 07:01:50,0.07804928
2023-12-21 07:02:50,0.077135872
2023-12-21 07:03:50,0.077135872
2023-12-21 07:04:50,0.077246464
2023-12-21 07:05:50,0.221519872
2023-12-21 07:06:50,0.221544448
