,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-25 22:38:16,35.520512,38.776832
2023-08-25 22:39:16,36.012032,35.794944
2023-08-25 22:40:16,37.060608,36.503552
2023-08-25 22:41:16,37.523456,36.605952
2023-08-25 22:42:16,37.31456,36.63872
2023-08-25 22:43:16,37.330944,35.057664
2023-08-25 22:44:16,39.084032,39.81312
2023-08-25 22:45:16,39.354368,40.419328
2023-08-25 22:46:16,39.108608,40.189952
2023-08-25 22:47:16,36.859904,35.475456
2023-08-25 22:48:16,36.909056,35.34848
2023-08-25 22:49:16,34.992128,35.75808
2023-08-25 22:50:16,36.491264,36.749312
2023-08-25 22:51:16,37.15072,37.101568
2023-08-25 22:52:16,37.257216,37.105664
2023-08-25 22:53:16,35.160064,37.224448
2023-08-25 22:54:16,35.106816,35.24608
2023-08-25 22:55:16,36.503552,36.442112
2023-08-25 22:56:16,37.126144,36.769792
2023-08-25 22:57:16,35.151872,36.864
2023-08-25 22:58:16,35.590144,35.38944
