,"{container=""discovery""}"
2023-12-21 19:39:18,1.0
2023-12-21 19:40:18,6.0
2023-12-21 19:41:18,9.0
2023-12-21 19:42:18,11.0
2023-12-21 19:43:18,12.0
2023-12-21 19:44:18,7.0
2023-12-21 19:45:18,6.0
2023-12-21 19:46:18,5.0
2023-12-21 19:47:18,4.0
2023-12-21 19:48:18,4.0
2023-12-21 19:49:18,3.0
2023-12-21 19:50:18,3.0
2023-12-21 19:51:18,3.0
2023-12-21 19:52:18,3.0
2023-12-21 19:53:18,3.0
2023-12-21 19:54:18,4.0
2023-12-21 19:55:18,8.0
2023-12-21 19:56:18,4.0
2023-12-21 19:57:18,2.0
2023-12-21 19:58:18,3.0
2023-12-21 19:59:18,3.0
2023-12-21 20:00:18,3.0
2023-12-21 20:01:18,3.0
2023-12-21 20:02:18,3.0
2023-12-21 20:03:18,3.0
2023-12-21 20:04:18,3.0
2023-12-21 20:05:18,3.0
2023-12-21 20:06:18,3.0
2023-12-21 20:07:18,3.0
2023-12-21 20:08:18,3.0
2023-12-21 20:09:18,3.0
2023-12-21 20:10:18,4.0
2023-12-21 20:11:18,4.0
2023-12-21 20:12:18,4.0
2023-12-21 20:13:18,4.0
