,"{container=""coredns""}"
2023-12-21 19:39:18,0.086581248
2023-12-21 19:40:18,0.089280512
2023-12-21 19:41:18,0.09015296
2023-12-21 19:42:18,0.092495872
2023-12-21 19:43:18,0.093966336
2023-12-21 19:44:18,0.096108544
2023-12-21 19:45:18,0.09732096
2023-12-21 19:46:18,0.098107392
2023-12-21 19:47:18,0.100847616
2023-12-21 19:48:18,0.101380096
2023-12-21 19:49:18,0.1020928
2023-12-21 19:50:18,0.101814272
2023-12-21 19:51:18,0.103346176
2023-12-21 19:52:18,0.102121472
2023-12-21 19:53:18,0.104390656
2023-12-21 19:54:18,0.101326848
2023-12-21 19:55:18,0.10174464
2023-12-21 19:56:18,0.102408192
2023-12-21 19:57:18,0.101576704
2023-12-21 19:58:18,0.10207232
2023-12-21 19:59:18,0.103317504
2023-12-21 20:00:18,0.101429248
2023-12-21 20:01:18,0.101998592
2023-12-21 20:02:18,0.10375168
2023-12-21 20:03:18,0.102158336
2023-12-21 20:04:18,0.10422272
2023-12-21 20:05:18,0.102641664
2023-12-21 20:06:18,0.101146624
2023-12-21 20:07:18,0.103354368
2023-12-21 20:08:18,0.104329216
2023-12-21 20:09:18,0.103575552
2023-12-21 20:10:18,0.103661568
2023-12-21 20:11:18,0.103993344
2023-12-21 20:12:18,0.104435712
2023-12-21 20:13:18,0.10412032
