,"{namespace=""cluster-loader""}","{namespace=""test-ryg4wg-1""}"
2023-12-21 19:40:18,219.04739999999998,6345.622755948153
2023-12-21 19:41:18,199.02176666666662,12418.342044814633
2023-12-21 19:42:18,192.72839999999997,19312.102766381144
2023-12-21 19:43:18,191.0241142857143,25836.532641673875
2023-12-21 19:44:18,187.6854222222222,32583.553953856823
2023-12-21 19:45:18,194.0477090909091,41357.24901878518
2023-12-21 19:46:18,192.50190769230773,46323.12475225189
2023-12-21 19:47:18,191.36831999999998,51805.22894044326
2023-12-21 19:48:18,194.5912705882353,57100.70906504076
2023-12-21 19:49:18,193.8972011094698,62733.46710033423
2023-12-21 19:50:18,193.33579047619048,68532.414294029
2023-12-21 19:51:18,192.87180869565216,73696.07099490688
2023-12-21 19:52:18,192.482064,77163.66485305167
2023-12-21 19:53:18,194.19965185185183,78761.43974702491
2023-12-21 19:54:18,193.91002068965517,80061.11920449363
2023-12-21 19:55:18,193.65776129032258,82558.37881613568
2023-12-21 19:56:18,193.43607878787878,86265.77886305738
2023-12-21 19:57:18,193.23973142857142,89820.11534038327
2023-12-21 19:58:18,193.06461081081082,92657.96240980146
2023-12-21 19:59:18,192.90745128205128,93869.59097131576
2023-12-21 20:00:18,193.75987182082622,95235.76058765291
2023-12-21 20:01:18,193.64586744186047,96785.43045298257
2023-12-21 20:02:18,193.52827333333335,98343.11200201532
2023-12-21 20:03:18,193.4206872340426,99862.7491804797
2023-12-21 20:04:18,193.32188367346936,101435.04693848736
2023-12-21 20:05:18,195.2570843137255,103018.53335355045
2023-12-21 20:06:18,195.1719113207547,104573.30248870113
2023-12-21 20:07:18,195.09293272727274,105822.86950008647
2023-12-21 20:08:18,199.0638403508772,107608.51501840996
2023-12-21 20:09:18,198.99387966101696,109904.33470379669
2023-12-21 20:10:18,198.92850655737703,112926.15996058872
2023-12-21 20:11:18,199.87850793650796,116468.36326314161
2023-12-21 20:12:18,203.85921538461542,120405.64044093297
2023-12-21 20:13:18,206.9173619122433,124630.95599887733
