,{}
2023-12-21 19:40:18,0.0
2023-12-21 19:41:18,0.0
2023-12-21 19:42:18,0.0
2023-12-21 19:43:18,0.0
2023-12-21 19:44:18,0.0
2023-12-21 19:45:18,0.0
2023-12-21 19:46:18,0.0
2023-12-21 19:47:18,0.0
2023-12-21 19:48:18,0.0
2023-12-21 19:49:18,0.0
2023-12-21 19:50:18,0.0
2023-12-21 19:51:18,0.0
2023-12-21 19:52:18,0.0
2023-12-21 19:53:18,0.0
2023-12-21 19:54:18,0.0
2023-12-21 19:55:18,0.0
2023-12-21 19:56:18,0.0
2023-12-21 19:57:18,0.0
2023-12-21 19:58:18,0.0
2023-12-21 19:59:18,0.0
2023-12-21 20:00:18,0.0
2023-12-21 20:01:18,0.0
2023-12-21 20:02:18,0.0
2023-12-21 20:03:18,0.0
2023-12-21 20:04:18,0.0
2023-12-21 20:05:18,0.0
2023-12-21 20:06:18,0.0
2023-12-21 20:07:18,14.11178431553043
2023-12-21 20:08:18,230.97695536764124
2023-12-21 20:09:18,682.7878716058065
2023-12-21 20:10:18,1408.9365969630614
2023-12-21 20:11:18,2360.781623741626
2023-12-21 20:12:18,3438.148411095536
2023-12-21 20:13:18,4760.097217991324
