,"{container=""coredns""}"
2023-12-20 21:39:46,0.044146688
2023-12-20 21:40:46,0.045666304
2023-12-20 21:41:46,0.046084096
2023-12-20 21:42:46,0.047374336
2023-12-20 21:43:46,0.04591616
2023-12-20 21:44:46,0.046637056
2023-12-20 21:45:46,0.047067136
2023-12-20 21:46:46,0.047353856
2023-12-20 21:47:46,0.04616192
2023-12-20 21:48:46,0.046927872
2023-12-20 21:49:46,0.0468992
2023-12-20 21:50:46,0.045244416
2023-12-20 21:51:46,0.04530176
2023-12-20 21:52:46,0.046379008
2023-12-20 21:53:46,0.046383104
2023-12-20 21:54:46,0.045981696
2023-12-20 21:55:46,0.046698496
2023-12-20 21:56:46,0.047017984
2023-12-20 21:57:46,0.046309376
2023-12-20 21:58:46,0.046215168
2023-12-20 21:59:46,0.04665344
2023-12-20 22:00:46,0.046030848
2023-12-20 22:01:46,0.046096384
2023-12-20 22:02:46,0.046088192
2023-12-20 22:03:46,0.045969408
2023-12-20 22:04:46,0.046411776
2023-12-20 22:05:46,0.044711936
2023-12-20 22:06:46,0.045735936
2023-12-20 22:07:46,0.046637056
2023-12-20 22:08:46,0.046309376
