,"{namespace=""cluster-loader""}","{namespace=""test-gchg2q-1""}"
2023-12-20 21:40:46,9.688666666666666,137.1026624141838
2023-12-20 21:41:46,21.68866666666667,21527.44769382718
2023-12-20 21:42:46,33.68866666666666,65423.815640611465
2023-12-20 21:43:46,45.68866666666666,127101.73589888221
2023-12-20 21:44:46,57.68866666666666,187103.57952383644
2023-12-20 21:45:46,69.68866666666666,247103.70912781186
2023-12-20 21:46:46,81.68866666666666,307103.6956503184
2023-12-20 21:47:46,93.68866666666666,367103.7133333344
2023-12-20 21:48:46,105.68866666666668,427103.71319494775
2023-12-20 21:49:46,117.68866666666668,487103.7131956442
2023-12-20 21:50:46,129.68866666666668,547103.7133333347
2023-12-20 21:51:46,141.68866666666668,607103.7133333341
2023-12-20 21:52:46,153.68866666666668,667103.697485806
2023-12-20 21:53:46,165.68866666666665,727103.7133333324
2023-12-20 21:54:46,177.68866666666668,787103.7133333314
2023-12-20 21:55:46,189.68866666666668,847103.7133333314
2023-12-20 21:56:46,201.68866666666668,907103.713197783
2023-12-20 21:57:46,213.68866666666668,967103.6896877012
2023-12-20 21:58:46,225.68866666666668,1027103.7133333305
2023-12-20 21:59:46,237.68866666666665,1087103.699621697
2023-12-20 22:00:46,249.68866666666665,1147103.7133333276
2023-12-20 22:01:46,261.6886666666667,1207103.6973724312
2023-12-20 22:02:46,273.6886666666667,1267103.7131318708
2023-12-20 22:03:46,285.6886666666667,1327103.6901213608
2023-12-20 22:04:46,297.6886666666667,1387103.713333331
2023-12-20 22:05:46,309.6886666666667,1447103.7129992216
2023-12-20 22:06:46,321.6886666666667,1507103.7133333285
2023-12-20 22:07:46,333.6886666666667,1567103.6994849995
2023-12-20 22:08:46,345.6886666666667,1627103.7131987934
