,{}
2023-12-20 21:39:46,97.18085106382979
2023-12-20 21:40:46,99.38845113489356
2023-12-20 21:41:46,99.71472195435551
2023-12-20 21:42:46,99.79401162362981
2023-12-20 21:43:46,100.0
2023-12-20 21:44:46,99.99999999999999
2023-12-20 21:45:46,100.0
2023-12-20 21:46:46,100.0
2023-12-20 21:47:46,100.0
2023-12-20 21:48:46,100.0
2023-12-20 21:49:46,96.45958583834334
2023-12-20 21:50:46,100.0
2023-12-20 21:51:46,100.0
2023-12-20 21:52:46,100.0
2023-12-20 21:53:46,100.00000000000001
2023-12-20 21:54:46,98.26771653543308
2023-12-20 21:55:46,100.0
2023-12-20 21:56:46,100.0
2023-12-20 21:57:46,100.0
2023-12-20 21:58:46,99.89764585465711
2023-12-20 21:59:46,95.75328614762387
2023-12-20 22:00:46,99.89106753812636
2023-12-20 22:01:46,100.0
2023-12-20 22:02:46,100.0
2023-12-20 22:03:46,100.0
2023-12-20 22:04:46,100.0
2023-12-20 22:05:46,100.0
2023-12-20 22:06:46,99.99999999999999
2023-12-20 22:07:46,100.0
2023-12-20 22:08:46,97.81576448243116
