,"{container=""discovery"",pod=""istiod-asm-1-17-dc8d955c6-gzqwt""}"
2023-08-26 00:30:17,1.0
2023-08-26 00:33:17,1.0
2023-08-26 00:35:17,1.0
2023-08-26 00:36:17,1.0
2023-08-26 00:38:17,1.0
2023-08-26 00:41:17,1.0
2023-08-26 00:43:17,1.0
2023-08-26 00:44:17,1.0
2023-08-26 00:45:17,1.0
2023-08-26 00:49:17,1.0
2023-08-26 00:50:17,1.0
