,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 00:30:17,37.249024,37.773312
2023-08-26 00:31:17,37.66272,38.33856
2023-08-26 00:32:17,36.22912,38.436864
2023-08-26 00:33:17,36.12672,35.250176
2023-08-26 00:34:17,34.676736,35.602432
2023-08-26 00:35:17,35.770368,36.839424
2023-08-26 00:36:17,39.133184,40.194048
2023-08-26 00:37:17,39.165952,39.538688
2023-08-26 00:38:17,35.946496,39.391232
2023-08-26 00:39:17,36.069376,35.995648
2023-08-26 00:40:17,36.786176,37.10976
2023-08-26 00:41:17,36.839424,37.535744
2023-08-26 00:42:17,35.049472,37.588992
2023-08-26 00:43:17,35.053568,35.442688
2023-08-26 00:44:17,35.467264,35.987456
2023-08-26 00:45:17,36.777984,36.749312
2023-08-26 00:46:17,36.769792,36.900864
2023-08-26 00:47:17,37.277696,37.486592
2023-08-26 00:48:17,36.958208,38.211584
2023-08-26 00:49:17,35.483648,35.55328
2023-08-26 00:50:17,36.339712,37.060608
