,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 00:30:17,,1000.0
2023-08-26 00:31:17,1000.0,1000.0
2023-08-26 00:32:17,1000.0,
2023-08-26 00:33:17,,1000.0
2023-08-26 00:34:17,1000.0,1000.0
2023-08-26 00:36:17,1000.0,1000.0
2023-08-26 00:37:17,1000.0,1000.0
2023-08-26 00:38:17,1000.0,1000.0
2023-08-26 00:39:17,1000.0,1000.0
2023-08-26 00:40:17,1000.0,1000.0
2023-08-26 00:41:17,,1000.0
2023-08-26 00:42:17,1000.0,1000.0
2023-08-26 00:43:17,,1000.0
2023-08-26 00:44:17,,1000.0
2023-08-26 00:45:17,1000.0,1000.0
2023-08-26 00:46:17,1000.0,1000.0
2023-08-26 00:47:17,1000.0,1000.0
2023-08-26 00:48:17,,1000.0
2023-08-26 00:49:17,1000.0,1000.0
2023-08-26 00:50:17,1000.0,1000.0
