,"{instance=""52.186.90.120:443"",job=""kubernetes-apiservers""}"
2023-08-26 00:30:17,1167.880192
2023-08-26 00:31:17,1167.880192
2023-08-26 00:32:17,1077.264384
2023-08-26 00:33:17,1089.417216
2023-08-26 00:34:17,1097.330688
2023-08-26 00:35:17,1097.330688
2023-08-26 00:36:17,1559.072768
2023-08-26 00:37:17,1559.072768
2023-08-26 00:38:17,1489.117184
2023-08-26 00:39:17,1489.117184
2023-08-26 00:40:17,1064.81664
2023-08-26 00:41:17,1065.889792
2023-08-26 00:42:17,1065.889792
2023-08-26 00:43:17,1065.889792
2023-08-26 00:44:17,1099.935744
2023-08-26 00:45:17,1099.935744
2023-08-26 00:46:17,1075.417088
2023-08-26 00:47:17,1075.417088
2023-08-26 00:48:17,1089.466368
2023-08-26 00:49:17,1089.466368
2023-08-26 00:50:17,1089.466368
