,"{container=""discovery"",pod=""istiod-asm-1-17-78766c7586-f274s""}"
2023-08-26 00:08:30,1.0
2023-08-26 00:10:30,1.0
2023-08-26 00:11:30,1.0
2023-08-26 00:12:30,1.0
2023-08-26 00:13:30,1.0
2023-08-26 00:15:30,1.0
2023-08-26 00:16:30,1.0
2023-08-26 00:18:30,1.0
2023-08-26 00:19:30,1.0
2023-08-26 00:20:30,1.0
2023-08-26 00:21:30,1.0
2023-08-26 00:22:30,1.0
2023-08-26 00:23:30,1.0
2023-08-26 00:24:30,1.0
2023-08-26 00:25:30,1.0
2023-08-26 00:26:30,1.0
2023-08-26 00:28:30,1.0
