,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 00:08:30,36.487168,35.590144
2023-08-26 00:09:30,36.315136,35.504128
2023-08-26 00:10:30,37.322752,36.49536
2023-08-26 00:11:30,36.872192,36.847616
2023-08-26 00:12:30,36.929536,36.92544
2023-08-26 00:13:30,34.844672,34.988032
2023-08-26 00:14:30,40.353792,39.661568
2023-08-26 00:15:30,40.763392,40.484864
2023-08-26 00:16:30,39.575552,38.817792
2023-08-26 00:17:30,39.58784,38.95296
2023-08-26 00:18:30,35.28704,35.467264
2023-08-26 00:19:30,35.38944,35.524608
2023-08-26 00:20:30,36.814848,36.995072
2023-08-26 00:21:30,37.023744,37.904384
2023-08-26 00:22:30,35.196928,35.135488
2023-08-26 00:23:30,35.340288,35.340288
2023-08-26 00:24:30,35.700736,35.979264
2023-08-26 00:25:30,37.23264,37.101568
2023-08-26 00:26:30,37.318656,37.056512
2023-08-26 00:27:30,37.326848,37.609472
2023-08-26 00:28:30,34.93888,35.487744
