,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 00:08:30,1000.0,
2023-08-26 00:09:30,1000.0,
2023-08-26 00:10:30,1000.0,
2023-08-26 00:11:30,1000.0,1000.0
2023-08-26 00:12:30,1000.0,1000.0
2023-08-26 00:13:30,1000.0,1000.0
2023-08-26 00:14:30,1000.0,1000.0
2023-08-26 00:15:30,,1000.0
2023-08-26 00:16:30,1000.0,1000.0
2023-08-26 00:17:30,1000.0,1000.0
2023-08-26 00:18:30,1000.0,1000.0
2023-08-26 00:19:30,1000.0,
2023-08-26 00:20:30,1000.0,1000.0
2023-08-26 00:21:30,,1000.0
2023-08-26 00:22:30,,1000.0
2023-08-26 00:23:30,1000.0,
2023-08-26 00:24:30,1000.0,1000.0
2023-08-26 00:25:30,1000.0,1000.0
2023-08-26 00:26:30,,1000.0
2023-08-26 00:27:30,1000.0,1000.0
2023-08-26 00:28:30,1000.0,
