,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 01:35:39,37.556224,37.654528
2023-08-26 01:36:39,37.371904,37.56032
2023-08-26 01:37:39,34.656256,34.97984
2023-08-26 01:38:39,35.033088,35.033088
2023-08-26 01:39:39,35.016704,35.55328
2023-08-26 01:40:39,36.724736,36.184064
2023-08-26 01:41:39,39.15776,39.923712
2023-08-26 01:42:39,39.165952,39.788544
2023-08-26 01:43:39,38.969344,39.133184
2023-08-26 01:44:39,39.518208,39.174144
2023-08-26 01:45:39,38.62528,39.079936
2023-08-26 01:46:39,38.526976,38.948864
2023-08-26 01:47:39,35.807232,35.827712
2023-08-26 01:48:39,36.020224,35.741696
2023-08-26 01:49:39,35.729408,36.892672
2023-08-26 01:50:39,37.187584,37.289984
2023-08-26 01:51:39,37.388288,37.691392
2023-08-26 01:52:39,37.777408,37.629952
2023-08-26 01:53:39,34.988032,35.209216
2023-08-26 01:54:39,35.667968,36.49536
2023-08-26 01:55:39,37.097472,36.810752
