,{}
2023-08-26 01:35:39,100.0
2023-08-26 01:36:39,100.0
2023-08-26 01:37:39,100.0
2023-08-26 01:38:39,100.0
2023-08-26 01:39:39,99.24242424242422
2023-08-26 01:40:39,100.0
2023-08-26 01:41:39,100.0
2023-08-26 01:42:39,100.0
2023-08-26 01:43:39,100.0
2023-08-26 01:44:39,100.0
2023-08-26 01:45:39,100.0
2023-08-26 01:46:39,97.91666666666667
2023-08-26 01:47:39,100.0
2023-08-26 01:48:39,100.0
2023-08-26 01:49:39,100.0
2023-08-26 01:50:39,100.0
2023-08-26 01:51:39,99.18032786885247
2023-08-26 01:52:39,100.0
2023-08-26 01:53:39,100.0
2023-08-26 01:54:39,100.0
2023-08-26 01:55:39,100.0
