,"{container=""discovery""}"
2023-12-21 16:55:55,1.0
2023-12-21 16:56:55,3.0
2023-12-21 16:57:55,9.0
2023-12-21 16:58:55,10.0
2023-12-21 16:59:55,6.0
2023-12-21 17:00:55,5.0
2023-12-21 17:01:55,4.0
2023-12-21 17:02:55,3.0
2023-12-21 17:03:55,3.0
2023-12-21 17:04:55,3.0
2023-12-21 17:05:55,3.0
2023-12-21 17:06:55,2.0
2023-12-21 17:07:55,3.0
2023-12-21 17:08:55,2.0
2023-12-21 17:09:55,2.0
2023-12-21 17:10:55,3.0
2023-12-21 17:11:55,3.0
2023-12-21 17:12:55,3.0
2023-12-21 17:13:55,3.0
2023-12-21 17:14:55,3.0
2023-12-21 17:15:55,3.0
2023-12-21 17:16:55,3.0
2023-12-21 17:17:55,3.0
2023-12-21 17:18:55,3.0
2023-12-21 17:19:55,3.0
2023-12-21 17:20:55,3.0
2023-12-21 17:21:55,3.0
