,"{container=""coredns""}"
2023-12-21 05:57:42,0.071876608
2023-12-21 05:58:42,0.072675328
2023-12-21 05:59:42,0.075862016
2023-12-21 06:00:42,0.076025856
2023-12-21 06:01:42,0.077312
2023-12-21 06:02:42,0.078045184
2023-12-21 06:03:42,0.078188544
2023-12-21 06:04:42,0.079118336
2023-12-21 06:05:42,0.078901248
2023-12-21 06:06:42,0.079355904
2023-12-21 06:07:42,0.079839232
2023-12-21 06:08:42,0.081481728
2023-12-21 06:09:42,0.084033536
2023-12-21 06:10:42,0.085839872
2023-12-21 06:11:42,0.08912896
2023-12-21 06:12:42,0.08783872
2023-12-21 06:13:42,0.09181184
2023-12-21 06:14:42,0.091557888
2023-12-21 06:15:42,0.088199168
2023-12-21 06:16:42,0.091086848
2023-12-21 06:17:42,0.091672576
2023-12-21 06:18:42,0.091701248
2023-12-21 06:19:42,0.0925696
2023-12-21 06:20:42,0.091901952
2023-12-21 06:21:42,0.09248768
2023-12-21 06:22:42,0.091480064
2023-12-21 06:23:42,0.091635712
2023-12-21 06:24:42,0.091398144
