,"{namespace=""cluster-loader""}","{namespace=""test-fgk6ih-1""}"
2023-12-21 05:58:42,10.664266666666666,2974.6340469831234
2023-12-21 05:59:42,22.663836197586825,27541.749277781164
2023-12-21 06:00:42,34.66206132777004,69289.54326651899
2023-12-21 06:01:42,46.66426666666667,125651.55710700565
2023-12-21 06:02:42,58.66426666666666,196479.52744193753
2023-12-21 06:03:42,70.66426666666666,277807.0345085178
2023-12-21 06:04:42,82.66426666666666,369311.4073479227
2023-12-21 06:05:42,94.66426666666666,468951.61467126245
2023-12-21 06:06:42,106.66426666666665,574946.6054302598
2023-12-21 06:07:42,118.66426666666666,685767.6005393444
2023-12-21 06:08:42,130.66406346192002,797796.8379041973
2023-12-21 06:09:42,141.6543217391304,908924.9045620165
2023-12-21 06:10:42,152.64391709440255,1020235.374447833
2023-12-21 06:11:42,164.6459135802469,1131269.4810538893
2023-12-21 06:12:42,176.64678259308081,1243444.7801881102
2023-12-21 06:13:42,187.69819354838708,1354653.9015167258
2023-12-21 06:14:42,199.6423191919192,1466699.6154667833
2023-12-21 06:15:42,211.64357333333334,1578773.01644865
2023-12-21 06:16:42,223.64423503376491,1689903.7211694038
2023-12-21 06:17:42,234.63983076923074,1802649.6467757032
2023-12-21 06:18:42,245.63057733568144,1914604.2240357168
2023-12-21 06:19:42,257.63427596899226,2027161.3696164181
2023-12-21 06:20:42,268.62812888888885,2138896.3882298237
2023-12-21 06:21:42,279.622504964539,2251296.204577907
2023-12-21 06:22:42,291.6242095238095,2363625.991073351
2023-12-21 06:23:42,301.44401176470586,2475385.6968580526
2023-12-21 06:24:42,313.61400716518216,2587023.7562255175
