,"{container=""discovery""}"
2023-12-21 05:57:42,0.210092032
2023-12-21 05:58:42,2.241396736
2023-12-21 05:59:42,4.159545344
2023-12-21 06:00:42,6.745718784
2023-12-21 06:01:42,9.687560192
2023-12-21 06:02:42,12.304519168
2023-12-21 06:03:42,13.76784384
2023-12-21 06:04:42,16.064897024
2023-12-21 06:05:42,18.7967488
2023-12-21 06:06:42,20.8771072
2023-12-21 06:07:42,22.544347136
2023-12-21 06:08:42,25.410760704
2023-12-21 06:09:42,25.510289408
2023-12-21 06:10:42,25.64108288
2023-12-21 06:11:42,27.456413696
2023-12-21 06:12:42,27.84940032
2023-12-21 06:13:42,27.84940032
2023-12-21 06:14:42,27.84940032
2023-12-21 06:15:42,27.84940032
2023-12-21 06:16:42,27.84940032
2023-12-21 06:17:42,3.526848512
2023-12-21 06:18:42,4.868960256
2023-12-21 06:19:42,6.16318976
2023-12-21 06:20:42,7.11940096
2023-12-21 06:21:42,8.13586432
2023-12-21 06:22:42,9.405005824
2023-12-21 06:23:42,9.934184448
2023-12-21 06:24:42,11.25185536
