,"{namespace=""cluster-loader""}","{namespace=""test-fgk6ih-1""}"
2023-12-21 05:58:42,213.77339999999998,4438.655824565736
2023-12-21 05:59:42,177.75373211563675,9358.7414993766
2023-12-21 06:00:42,170.3579895682892,13720.550090801908
2023-12-21 06:01:42,166.77705714285713,16783.101013733965
2023-12-21 06:02:42,164.15993333333333,17926.53082413922
2023-12-21 06:03:42,165.65447272727272,19086.962940591886
2023-12-21 06:04:42,164.47686153846155,20030.355336635334
2023-12-21 06:05:42,163.61328,21037.89833889992
2023-12-21 06:06:42,162.95289411764705,21790.567916398275
2023-12-21 06:07:42,162.43153684210526,23041.24944471115
2023-12-21 06:08:42,162.00919058358227,29755.319037583846
2023-12-21 06:09:42,161.67170434782608,38346.49091449391
2023-12-21 06:10:42,161.38720333827752,47723.197426376755
2023-12-21 06:11:42,161.13543508036338,57417.40882084936
2023-12-21 06:12:42,160.9177290685819,64652.167473656984
2023-12-21 06:13:42,160.77804241142252,64262.19365345205
2023-12-21 06:14:42,160.56820492424242,63967.95233000184
2023-12-21 06:15:42,160.42052823285835,64113.43621806046
2023-12-21 06:16:42,160.28862749588097,65356.22122785212
2023-12-21 06:17:42,160.17482131202132,66816.421292947
2023-12-21 06:18:42,160.0710239171371,67991.96393863184
2023-12-21 06:19:42,159.97530649877208,68959.19773874161
2023-12-21 06:20:42,160.9038238039441,70255.54722319003
2023-12-21 06:21:42,160.8256904910235,71449.44172426539
2023-12-21 06:22:42,160.75029709103393,72696.02488569148
2023-12-21 06:23:42,160.581749317909,73930.78035841152
2023-12-21 06:24:42,160.6211799292609,75259.76881459054
