,"{namespace=""cluster-loader""}","{namespace=""test-xm9fkt-1""}"
2023-12-21 18:15:30,10.920533333333333,2104.08213207194
2023-12-21 18:16:30,22.920533333333335,19608.877462905897
2023-12-21 18:17:30,34.92053333333333,51873.181103370174
2023-12-21 18:18:30,46.92053333333334,93713.43882265492
2023-12-21 18:19:30,58.920533333333324,133713.47884617714
2023-12-21 18:20:30,70.92053333333334,173713.4712057067
2023-12-21 18:21:30,82.92053333333334,213713.3140990633
2023-12-21 18:22:30,94.92053333333334,253713.48066131215
2023-12-21 18:23:30,106.92053333333334,293713.5131236285
2023-12-21 18:24:30,118.92053333333331,333713.50385768554
2023-12-21 18:25:30,130.92053333333334,369265.4971846399
2023-12-21 18:26:30,142.9205333333333,390340.9332252031
2023-12-21 18:27:30,154.92053333333334,424904.04392919893
2023-12-21 18:28:30,166.92053333333334,466663.92950036033
2023-12-21 18:29:30,178.92053333333334,506663.917189124
2023-12-21 18:30:30,190.9205333333333,546663.9105684242
2023-12-21 18:31:30,202.92053333333334,586663.9363538357
2023-12-21 18:32:30,214.92053333333334,626663.947175148
2023-12-21 18:33:30,226.9205333333333,666663.9384079175
2023-12-21 18:34:30,238.92053333333334,706663.9381269361
2023-12-21 18:35:30,250.9205333333333,746663.9465714657
2023-12-21 18:36:30,262.9205333333333,786663.9463883358
2023-12-21 18:37:30,274.9205333333333,826663.9462259343
2023-12-21 18:38:30,286.9205333333333,866663.9458756528
2023-12-21 18:39:30,298.9205333333333,906663.9367842934
2023-12-21 18:40:30,310.9205333333333,946663.9461620738
2023-12-21 18:41:30,322.9205333333333,986663.9459789194
2023-12-21 18:42:30,334.9205333333333,1026663.9459376138
2023-12-21 18:43:30,346.9205333333333,1066663.9459012293
2023-12-21 18:44:30,358.92053333333325,1106663.9307277398
2023-12-21 18:45:30,370.0458666666667,1146663.9459065408
