,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 01:13:52,36.409344,36.200448
2023-08-26 01:14:52,37.326848,37.359616
2023-08-26 01:15:52,37.224448,37.6832
2023-08-26 01:16:52,37.220352,36.47488
2023-08-26 01:17:52,34.504704,36.59776
2023-08-26 01:18:52,34.5088,34.914304
2023-08-26 01:19:52,40.087552,40.587264
2023-08-26 01:20:52,40.247296,40.484864
2023-08-26 01:21:52,35.549184,40.501248
2023-08-26 01:22:52,35.4304,40.902656
2023-08-26 01:23:52,35.47136,35.598336
2023-08-26 01:24:52,37.101568,36.08576
2023-08-26 01:25:52,37.41696,36.818944
2023-08-26 01:26:52,37.199872,37.302272
2023-08-26 01:27:52,35.422208,35.282944
2023-08-26 01:28:52,35.188736,35.188736
2023-08-26 01:29:52,36.352,36.626432
2023-08-26 01:30:52,36.47488,36.696064
2023-08-26 01:31:52,36.954112,36.757504
2023-08-26 01:32:52,34.930688,36.765696
2023-08-26 01:33:52,35.332096,34.975744
