,"{namespace=""cluster-loader""}","{namespace=""test-kxkpym-1""}"
2023-12-21 07:25:56,11.028266666666667,1698.4359401127865
2023-12-21 07:26:56,23.028266666666667,21821.045675816593
2023-12-21 07:27:56,35.02826666666667,57709.202981175695
2023-12-21 07:28:56,47.02826666666667,107666.14039735905
2023-12-21 07:29:56,59.02826666666667,168671.71690947676
2023-12-21 07:30:56,71.02806022187677,228675.30469434574
2023-12-21 07:31:56,83.02826666666667,288675.291356254
2023-12-21 07:32:56,95.02826666666667,348675.4183319978
2023-12-21 07:33:56,107.02826666666665,408675.4553110342
2023-12-21 07:34:56,119.02826666666665,468675.24717944354
2023-12-21 07:35:56,131.02826666666667,528675.4381196224
2023-12-21 07:36:56,143.02826666666664,588675.4410807736
2023-12-21 07:37:56,155.02826666666667,648675.4554955557
2023-12-21 07:38:56,167.02826666666667,708675.4550908156
2023-12-21 07:39:56,179.02826666666664,768675.4554208551
2023-12-21 07:40:56,191.02826666666664,828675.423800984
2023-12-21 07:41:56,203.02826666666664,888675.4269288431
2023-12-21 07:42:56,215.0282666666667,948674.4679015192
2023-12-21 07:43:56,227.02826666666664,1008675.2537643294
2023-12-21 07:44:56,239.02826666666664,1068675.4384686463
2023-12-21 07:45:56,251.02799726678393,1128675.2813707169
2023-12-21 07:46:56,263.02826666666664,1188674.4425710826
2023-12-21 07:47:56,275.0282666666667,1248675.2869065704
2023-12-21 07:48:56,287.02826666666664,1308675.4064799119
2023-12-21 07:49:56,299.02826666666664,1368675.2111613643
2023-12-21 07:50:56,311.0282666666667,1428675.4516106164
2023-12-21 07:51:56,323.02826666666664,1488675.2888947397
2023-12-21 07:52:56,335.02826666666664,1548675.4552767333
2023-12-21 07:53:56,347.02826666666664,1608675.2600409081
2023-12-21 07:54:56,359.0282666666667,1668675.279653465
2023-12-21 07:55:56,371.0282666666667,1728675.2314536509
2023-12-21 07:56:56,383.0282666666667,1788675.4554763217
2023-12-21 07:57:56,395.0282666666666,1848675.2353534854
2023-12-21 07:58:56,407.009402194518,1908671.4089757497
2023-12-21 07:59:56,419.02826666666664,1968675.2538677694
2023-12-21 08:00:56,431.02826666666664,2028675.4494734246
2023-12-21 08:01:56,443.02826666666664,2088675.2730523997
2023-12-21 08:02:56,455.02826666666664,2148675.275670436
2023-12-21 08:03:56,467.0282666666667,2208675.31138419
2023-12-21 08:04:56,479.02826666666664,2268675.4553412423
2023-12-21 08:05:56,491.0282666666667,2328675.436823271
2023-12-21 08:06:56,503.02826666666664,2388675.385840274
2023-12-21 08:07:56,515.0282666666667,2448675.4549376704
2023-12-21 08:08:56,527.0282666666667,2508675.455540529
2023-12-21 08:09:56,539.0282666666667,2568675.405705186
2023-12-21 08:10:56,551.0282666666667,2628675.4554732437
2023-12-21 08:11:56,563.0282666666667,2688675.455272458
2023-12-21 08:12:56,575.0282666666667,2748675.4336439795
2023-12-21 08:13:56,587.0282666666667,2808675.4551396607
2023-12-21 08:14:56,599.0282666666667,2868675.399048071
2023-12-21 08:15:56,611.0282666666667,2928675.4551385706
2023-12-21 08:16:56,623.0282666666667,2988675.4550718227
2023-12-21 08:17:56,635.0282666666666,3048675.4550722446
2023-12-21 08:18:56,647.0282666666667,3108675.455272082
2023-12-21 08:19:56,659.0282666666666,3168675.1707383115
2023-12-21 08:20:56,671.0282666666667,3228675.4554720074
2023-12-21 08:21:56,683.0282666666667,3288675.4552049097
2023-12-21 08:22:56,695.0282666666667,3348675.455404898
2023-12-21 08:23:56,707.0282666666667,3408675.4339128905
2023-12-21 08:24:56,719.0282666666667,3468675.4518045783
2023-12-21 08:25:56,731.0282666666667,3528675.4553381735
2023-12-21 08:26:56,743.0282666666667,3588675.3971766415
2023-12-21 08:27:56,755.0282666666667,3648675.455271093
