,"{namespace=""cluster-loader""}","{namespace=""test-pjyolv-1""}"
2023-12-21 18:59:45,200.53386666666668,4916.725145630836
2023-12-21 19:00:45,180.0302,12539.335498939596
2023-12-21 19:01:45,176.21451151515151,18391.360430847373
2023-12-21 19:02:45,176.2483657142857,23848.427776586213
2023-12-21 19:03:45,177.88478128654972,30514.25350488438
2023-12-21 19:04:45,177.33952121212124,38602.579078951814
2023-12-21 19:05:45,179.3621356125356,43664.32154478937
2023-12-21 19:06:45,182.67219154121864,49165.52846787047
2023-12-21 19:07:45,182.0084042577031,55038.01652732319
2023-12-21 19:08:45,181.48371390013497,61720.65518826701
2023-12-21 19:09:45,181.05854204503507,67270.08600661189
2023-12-21 19:10:45,184.75243860622882,72191.23851382757
2023-12-21 19:11:45,184.45340109803922,75388.28084928768
2023-12-21 19:12:45,184.1985095398429,76707.20631865725
2023-12-21 19:13:45,185.0001333722969,78117.53522126233
2023-12-21 19:14:45,184.8071783922171,79544.68538398904
2023-12-21 19:15:45,184.6375443690638,80860.3308337553
2023-12-21 19:16:45,185.50365370892018,82198.94892875131
2023-12-21 19:17:45,185.36867315315314,83407.72752363098
2023-12-21 19:18:45,185.2475029319485,84743.15521379553
2023-12-21 19:19:45,185.13812667254382,86078.35708694188
2023-12-21 19:20:45,185.0389023255814,87338.28269950234
2023-12-21 19:21:45,184.94847915343917,88677.47646203866
2023-12-21 19:22:45,184.8657358715939,89962.19452108598
2023-12-21 19:23:45,185.7951238095238,91281.39689773793
2023-12-21 19:24:45,185.72486223745165,92437.35667240868
2023-12-21 19:25:45,185.65989368130255,93655.01266865789
2023-12-21 19:26:45,185.59964173628174,94970.8645790723
2023-12-21 19:27:45,193.6276154385965,96544.58283153917
