,{}
2023-12-21 18:59:45,2016.0
2023-12-21 19:00:45,5770.0
2023-12-21 19:01:45,10130.0
2023-12-21 19:02:45,13734.0
2023-12-21 19:03:45,14991.0
2023-12-21 19:04:45,15003.0
2023-12-21 19:05:45,15003.0
2023-12-21 19:06:45,15003.0
2023-12-21 19:07:45,15003.0
2023-12-21 19:08:45,15003.0
2023-12-21 19:09:45,15003.0
2023-12-21 19:10:45,15003.0
2023-12-21 19:11:45,15003.0
2023-12-21 19:12:45,15003.0
2023-12-21 19:13:45,15003.0
2023-12-21 19:14:45,15003.0
2023-12-21 19:15:45,15003.0
2023-12-21 19:16:45,15003.0
2023-12-21 19:17:45,15003.0
2023-12-21 19:18:45,15003.0
2023-12-21 19:19:45,15003.0
2023-12-21 19:20:45,15003.0
2023-12-21 19:21:45,15003.0
2023-12-21 19:22:45,15003.0
2023-12-21 19:23:45,15003.0
2023-12-21 19:24:45,15003.0
2023-12-21 19:25:45,15003.0
2023-12-21 19:26:45,15003.0
2023-12-21 19:27:45,15003.0
