,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 18:58:45,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-21 18:59:45,0.08888888888888888,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 19:00:45,0.08888888888888888,,1.8666666666666667,,,,,,,,,,,,,
2023-12-21 19:01:45,0.08892841262783459,1.5784793241440638,1.8674966651845262,,,,,,0.06669630947087593,,,,,,,0.06669630947087593
2023-12-21 19:02:45,0.08888888888888888,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 19:03:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:04:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:05:45,0.08888888888888888,1.5777777777777777,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 19:06:45,0.08888888888888888,1.5777777777777777,,,,,,2552.9555555555553,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 19:07:45,0.08888888888888888,,1.8666666666666667,,,,,,,,,,,,,
2023-12-21 19:08:45,0.08888888888888888,1.5777777777777777,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 19:09:45,0.08888888888888888,,,,,,,944.4444444444445,,,,,,,,
2023-12-21 19:10:45,0.08888888888888888,,,,,,,786.2888888888888,,,,,,,,
2023-12-21 19:11:45,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,0.13333333333333333,0.06666666666666667
2023-12-21 19:12:45,0.08888888888888888,1.5777777777777777,,,,,,,,,,,,,,
2023-12-21 19:13:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:14:45,0.08888888888888888,,,,,,,,,,,,,,0.13333333333333333,
2023-12-21 19:15:45,0.08888888888888888,1.5777777777777777,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 19:16:45,0.08888888888888888,1.5777777777777777,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 19:17:45,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.17777777777777776,
2023-12-21 19:18:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:19:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:20:45,0.08888888888888888,,,,,,,,,,,,,,0.13333333333333333,
2023-12-21 19:21:45,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 19:22:45,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 19:23:45,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.17777777777777776,
2023-12-21 19:24:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:25:45,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-21 19:26:45,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,0.13333333333333333,0.06666666666666667
2023-12-21 19:27:45,0.08888888888888888,,,,,,,,,,,,,,,
