,{}
2023-12-21 07:24:56,100.0
2023-12-21 07:25:56,98.28868289701536
2023-12-21 07:26:56,99.2190102528038
2023-12-21 07:27:56,98.94171006215355
2023-12-21 07:28:56,99.15986949429039
2023-12-21 07:29:56,97.17217217217218
2023-12-21 07:30:56,96.64670658682634
2023-12-21 07:31:56,99.91820040899795
2023-12-21 07:32:56,100.0
2023-12-21 07:33:56,99.94192799070849
2023-12-21 07:34:56,100.0
2023-12-21 07:35:56,100.0
2023-12-21 07:36:56,100.00000000000001
2023-12-21 07:37:56,98.31862126944095
2023-12-21 07:38:56,99.85033674232974
2023-12-21 07:39:56,100.0
2023-12-21 07:40:56,98.43304843304844
2023-12-21 07:41:56,100.0
2023-12-21 07:42:56,100.0
2023-12-21 07:43:56,99.87966305655837
2023-12-21 07:44:56,99.87871437234688
2023-12-21 07:45:56,100.0
2023-12-21 07:46:56,99.99999999999999
2023-12-21 07:47:56,93.4453781512605
2023-12-21 07:48:56,99.64463397299218
2023-12-21 07:49:56,98.33962264150945
2023-12-21 07:50:56,100.0
2023-12-21 07:51:56,100.0
2023-12-21 07:52:56,100.0
2023-12-21 07:53:56,100.0
2023-12-21 07:54:56,100.0
2023-12-21 07:55:56,100.0
2023-12-21 07:56:56,100.0
2023-12-21 07:57:56,96.67863554757629
2023-12-21 07:58:56,97.94069192751236
2023-12-21 07:59:56,100.0
2023-12-21 08:00:56,99.99999999999999
2023-12-21 08:01:56,100.0
2023-12-21 08:02:56,100.0
2023-12-21 08:03:56,100.0
2023-12-21 08:04:56,100.0
2023-12-21 08:05:56,100.0
2023-12-21 08:06:56,100.0
2023-12-21 08:07:56,96.51162790697676
2023-12-21 08:08:56,99.69856819894498
2023-12-21 08:09:56,100.0
2023-12-21 08:10:56,99.19854280510019
2023-12-21 08:11:56,99.99999999999999
2023-12-21 08:12:56,100.0
2023-12-21 08:13:56,99.99999999999999
2023-12-21 08:14:56,100.0
2023-12-21 08:15:56,100.0
2023-12-21 08:16:56,100.0
2023-12-21 08:17:56,97.84431137724552
2023-12-21 08:18:56,99.55791335101681
2023-12-21 08:19:56,100.0
2023-12-21 08:20:56,100.0
2023-12-21 08:21:56,100.0
2023-12-21 08:22:56,100.0
2023-12-21 08:23:56,99.44674965421854
2023-12-21 08:24:56,100.0
2023-12-21 08:25:56,100.0
2023-12-21 08:26:56,98.1896551724138
2023-12-21 08:27:56,96.92307692307692
