,"{container=""discovery""}"
2023-12-21 18:58:45,0.22034432
2023-12-21 18:59:45,1.306693632
2023-12-21 19:00:45,4.454350848
2023-12-21 19:01:45,6.536245248
2023-12-21 19:02:45,9.436573696
2023-12-21 19:03:45,10.123255808
2023-12-21 19:04:45,11.547697152
2023-12-21 19:05:45,12.622467072
2023-12-21 19:06:45,13.787041792
2023-12-21 19:07:45,14.705897472
2023-12-21 19:08:45,15.762669568
2023-12-21 19:09:45,16.922222592
2023-12-21 19:10:45,17.066135552
2023-12-21 19:11:45,17.072193536
2023-12-21 19:12:45,17.190662144
2023-12-21 19:13:45,17.192574976
2023-12-21 19:14:45,17.192697856
2023-12-21 19:15:45,17.192378368
2023-12-21 19:16:45,17.192173568
2023-12-21 19:17:45,17.24225536
2023-12-21 19:18:45,17.24237824
2023-12-21 19:19:45,17.247584256
2023-12-21 19:20:45,17.313030144
2023-12-21 19:21:45,17.313488896
2023-12-21 19:22:45,17.314123776
2023-12-21 19:23:45,17.313890304
2023-12-21 19:24:45,17.395277824
2023-12-21 19:25:45,17.394946048
2023-12-21 19:26:45,17.39552768
2023-12-21 19:27:45,17.439535104
