,"{namespace=""cluster-loader""}","{namespace=""test-kxkpym-1""}"
2023-12-21 07:25:56,175.2469,3592.4195218275036
2023-12-21 07:26:56,151.60945555555557,9121.051864708052
2023-12-21 07:27:56,147.88346,15512.793601688114
2023-12-21 07:28:56,147.62487142857142,21477.82461634845
2023-12-21 07:29:56,149.33950740740738,28314.021701887115
2023-12-21 07:30:56,151.86077899919917,35082.860733752736
2023-12-21 07:31:56,150.65183333333334,41488.14389415237
2023-12-21 07:32:56,149.7649222222222,47307.96720342178
2023-12-21 07:33:56,153.2018019607843,52621.31636744991
2023-12-21 07:34:56,152.6542438596491,51837.52470554585
2023-12-21 07:35:56,152.21098253968253,53259.374665233125
2023-12-21 07:36:56,151.84481014492755,55255.18967745055
2023-12-21 07:37:56,151.53722533333334,57429.44809571446
2023-12-21 07:38:56,151.2752086419753,59730.967857936615
2023-12-21 07:39:56,153.09329540229885,62066.2675756711
2023-12-21 07:40:56,152.89372795698924,64441.753563907754
2023-12-21 07:41:56,152.7183505050505,66852.80960394809
2023-12-21 07:42:56,152.5630161904762,69353.64318469212
2023-12-21 07:43:56,153.4376963963964,71917.19172700326
2023-12-21 07:44:56,153.31268632478634,74468.86650664223
2023-12-21 07:45:56,153.19968509195144,76237.91233129817
2023-12-21 07:46:56,153.0975527131783,77603.14343392367
2023-12-21 07:47:56,153.00432814814815,78983.31879724727
2023-12-21 07:48:56,155.9618269503546,80309.96420020028
2023-12-21 07:49:56,158.91876666666667,81645.17459988141
2023-12-21 07:50:56,158.84352091503268,83052.92610630502
2023-12-21 07:51:56,158.77395408805032,84419.08589246937
2023-12-21 07:52:56,158.70944666666668,85810.67919709803
2023-12-21 07:53:56,158.64946608187137,87133.55887310578
2023-12-21 07:54:56,158.59355197740115,88540.08036239879
2023-12-21 07:55:56,158.5413043715847,89909.68726601618
2023-12-21 07:56:56,158.49237407407406,91307.92618180696
2023-12-21 07:57:56,158.44645487179486,92659.56700949307
2023-12-21 07:58:56,158.39736436942604,94051.9516335679
2023-12-21 07:59:56,158.36260241545892,95434.63501729844
2023-12-21 08:00:56,158.3242192488263,96871.44858341366
2023-12-21 08:01:56,158.2879392694064,98242.87351981048
2023-12-21 08:02:56,158.2535942222222,99652.50297388242
2023-12-21 08:03:56,158.22103333333334,101324.36021650334
2023-12-21 08:04:56,161.2086983122363,103150.14303236296
2023-12-21 08:05:56,161.17885390946503,105284.32609402592
2023-12-21 08:06:56,161.15044779116465,107655.74721219728
2023-12-21 08:07:56,162.13049098039215,110216.36372740006
2023-12-21 08:08:56,162.10450268199233,113076.21585759315
2023-12-21 08:09:56,162.07968239700375,115680.89700209405
2023-12-21 08:10:56,162.05595311355313,118478.86852175993
2023-12-21 08:11:56,163.04045268817202,121326.09848019549
2023-12-21 08:12:56,163.01854842105263,124215.44567367024
2023-12-21 08:13:56,162.9975474226804,126876.65147637938
2023-12-21 08:14:56,162.97739494949496,129240.15128180814
2023-12-21 08:15:56,165.97599801980198,131358.19448525953
2023-12-21 08:16:56,166.96179611650484,133258.18945709337
2023-12-21 08:17:56,166.94347619047616,134892.1497334958
2023-12-21 08:18:56,166.92584112149532,136325.0942517362
2023-12-21 08:19:56,166.90885321100916,137694.92781048443
2023-12-21 08:20:56,166.89247747747746,139092.40971901533
2023-12-21 08:21:56,166.8766814159292,140478.05835810173
2023-12-21 08:22:56,166.8614347826087,141686.95890021938
2023-12-21 08:23:56,166.8467094017094,143100.16260333438
2023-12-21 08:24:56,166.83247899159664,144492.3961339192
2023-12-21 08:25:56,166.81871900826445,145884.93589534287
2023-12-21 08:26:56,166.80540650406505,147316.8094680772
2023-12-21 08:27:56,166.79252,148697.63111783654
