,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 00:52:04,1000.0,1000.0
2023-08-26 00:53:04,1000.0,1000.0
2023-08-26 00:54:04,1000.0,
2023-08-26 00:55:04,1000.0,1000.0
2023-08-26 00:56:04,1000.0,
2023-08-26 00:57:04,1000.0,1000.0
2023-08-26 00:58:04,1000.0,1000.0
2023-08-26 00:59:04,1000.0,1000.0
2023-08-26 01:00:04,1000.0,1000.0
2023-08-26 01:01:04,1000.0,1000.0
2023-08-26 01:02:04,,1000.0
2023-08-26 01:03:04,1000.0,1000.0
2023-08-26 01:04:04,1000.0,1000.0
2023-08-26 01:05:04,1000.0,
2023-08-26 01:06:04,1000.0,1000.0
2023-08-26 01:07:04,1000.0,1000.0
2023-08-26 01:08:04,1000.0,1000.0
2023-08-26 01:09:04,1000.0,1000.0
2023-08-26 01:10:04,,1000.0
2023-08-26 01:11:04,1000.0,
2023-08-26 01:12:04,,1000.0
