,"{namespace=""cluster-loader""}","{namespace=""test-aqpnx7-1""}"
2023-12-20 22:23:17,0.0,188.0012
2023-12-20 22:24:17,0.0,877.7307822222224
2023-12-20 22:25:17,13.516693333333333,13034.492901456748
2023-12-20 22:26:17,13.08335238095238,12047.846329523753
2023-12-20 22:27:17,29.873999999999995,48368.32171286487
2023-12-20 22:28:17,38.06821818181818,60166.39155130124
2023-12-20 22:29:17,37.75003076923077,58985.052465905435
2023-12-20 22:30:17,37.516693333333336,58708.092109373254
2023-12-20 22:31:17,37.338258823529415,58557.23628692609
2023-12-20 22:32:17,37.19738947368421,58520.18754352741
2023-12-20 22:33:17,37.083352380952384,58465.59749896512
2023-12-20 22:34:17,36.989147826086956,58168.39545864343
2023-12-20 22:35:17,36.910016000000006,57974.218913555334
2023-12-20 22:36:17,36.842607407407414,57836.517265925526
2023-12-20 22:37:17,36.78449655172414,57792.66964676115
2023-12-20 22:38:17,48.97851182795699,108801.905366924
2023-12-20 22:39:17,48.919208080808076,108589.94308430492
2023-12-20 22:40:17,48.866681904761904,108106.9870982993
2023-12-20 22:41:17,48.819834234234236,107857.91262941356
2023-12-20 22:42:17,48.77779145299145,107683.10672637897
2023-12-20 22:43:17,48.73985040650406,107546.01297509443
2023-12-20 22:44:17,48.705438759689926,107432.84871251881
2023-12-20 22:45:17,48.67408592592592,107336.60027513545
2023-12-20 22:46:17,48.64540141843972,107253.0983599301
2023-12-20 22:47:17,48.61905850340136,107179.6130138666
2023-12-20 22:48:17,48.5947816993464,107114.24026719204
2023-12-20 22:49:17,48.57233710691824,107055.57285755826
2023-12-20 22:50:17,48.551524848484846,107083.12389242204
2023-12-20 22:51:17,52.56198128654971,107946.83107906354
2023-12-20 22:52:17,52.542931073446326,109819.35423884795
2023-12-20 22:53:17,52.525130054644805,112683.18028324023
2023-12-20 22:54:17,52.50845925925926,116429.0898223848
