,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-20 22:22:17,0.07502166666666667,,,,,,,,0.07502166666666667,,,,,,0.2500722222222222,0.07502166666666667
2023-12-20 22:23:17,0.08888888888888888,,,,,,,,,0.17777777777777776,,,,,,
2023-12-20 22:24:17,0.08888888888888888,,,,,,,,,,,,,,,
2023-12-20 22:25:17,0.08888888888888888,,,0.2,,,0.04444444444444444,,,0.2,0.06666666666666667,,,0.13333333333333333,0.2222222222222222,
2023-12-20 22:26:17,0.1111111111111111,,,0.2,0.17777777777777776,0.1111111111111111,0.04444444444444444,,,0.2,0.06666666666666667,56.31111111111111,0.17777777777777776,0.13333333333333333,0.04444444444444444,
2023-12-20 22:27:17,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-20 22:28:17,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,
2023-12-20 22:29:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:30:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:31:17,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,
2023-12-20 22:32:17,0.1111111111111111,1.5111111111111108,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-20 22:33:17,0.1111111111111111,1.5111111111111108,,,,,,,,,,,,,,
2023-12-20 22:34:17,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,
2023-12-20 22:35:17,0.1111111111111111,,1.7777777777777777,,,,,,,,,,,,,
2023-12-20 22:36:17,0.1111111111111111,,,,,,,577.7777777777777,,,,,,,,
2023-12-20 22:37:17,0.1111111111111111,,,,,,,1424.8444444444442,0.06666666666666667,,,,,,0.2222222222222222,0.06666666666666667
2023-12-20 22:38:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:39:17,0.1111111111111111,,,0.2,0.17777777777777776,0.1111111111111111,0.04444444444444444,,,0.2,0.06666666666666667,56.31111111111111,0.17777777777777776,0.13333333333333333,0.04444444444444444,
2023-12-20 22:40:17,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,
2023-12-20 22:41:17,0.1111111111111111,,1.7777777777777777,,,,,,,,,,,,,
2023-12-20 22:42:17,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-20 22:43:17,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,
2023-12-20 22:44:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:45:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:46:17,0.1111111111111111,,1.7777777777777777,,,,,4295.822222222222,,,,,,,0.2222222222222222,
2023-12-20 22:47:17,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-20 22:48:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:49:17,0.1111111111111111,,,,,,,,,,,,,,0.2222222222222222,
2023-12-20 22:50:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:51:17,0.1111111111111111,,,,,,,,,,,,,,,
2023-12-20 22:52:17,0.1111111111111111,,,,,,,,0.06666666666666667,,,,,,0.2222222222222222,0.06666666666666667
2023-12-20 22:53:17,0.1111111111111111,1.5111111111111108,1.7777777777777777,,,,,,,,,,,,,
2023-12-20 22:54:17,0.1111111111111111,,,,,,,,,,,,,0.13333333333333333,,
