,"{container=""istio-proxy""}"
2023-12-21 17:34:19,0.053428224
2023-12-21 17:35:19,0.058892288
2023-12-21 17:36:19,0.062631936
2023-12-21 17:37:19,0.063320064
2023-12-21 17:38:19,0.06774784
2023-12-21 17:39:19,0.07026688
2023-12-21 17:40:19,0.070295552
2023-12-21 17:41:19,0.07596032
2023-12-21 17:42:19,0.080457728
2023-12-21 17:43:19,0.082694144
2023-12-21 17:44:19,0.084799488
2023-12-21 17:45:19,0.087228416
2023-12-21 17:46:19,0.088907776
2023-12-21 17:47:19,0.089018368
2023-12-21 17:48:19,0.089104384
2023-12-21 17:49:19,0.090218496
2023-12-21 17:50:19,0.091611136
2023-12-21 17:51:19,0.094552064
2023-12-21 17:52:19,0.094568448
2023-12-21 17:53:19,0.093196288
2023-12-21 17:54:19,0.093585408
2023-12-21 17:55:19,0.093749248
2023-12-21 17:56:19,0.096841728
2023-12-21 17:57:19,0.09908224
2023-12-21 17:58:19,0.099086336
2023-12-21 17:59:19,0.09920512
2023-12-21 18:00:19,0.09916416
2023-12-21 18:01:19,0.100339712
2023-12-21 18:02:19,0.100384768
