,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 17:33:19,0.07939000000000002,,,,,,,,,,,,,,
2023-12-21 17:34:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:35:19,0.08888888888888888,1.5777777777777777,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:36:19,0.08888888888888888,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 17:37:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:38:19,0.08888888888888888,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:39:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:40:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:41:19,0.08888888888888888,,,,,,,0.06666666666666667,,,,,,0.26666666666666666,0.06666666666666667
2023-12-21 17:42:19,0.08888888888888888,,1.8666666666666667,,,,,,,,,,,,
2023-12-21 17:43:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:44:19,0.08888888888888888,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:45:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:46:19,0.08888888888888888,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 17:47:19,0.08889679082585118,,,0.24446617477109076,0.20001777935816517,0.13334518623877678,0.04444839541292559,,0.20001777935816517,0.06667259311938839,56.36056538358965,0.20001777935816517,0.17779358165170236,0.3111387678904791,
2023-12-21 17:48:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:49:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:50:19,0.08888888888888888,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:51:19,0.08888888888888888,,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 17:52:19,0.08888888888888888,1.5777777777777777,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 17:53:19,0.08888888888888888,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 17:54:19,0.08888888888888888,,1.8666666666666667,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 17:55:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:56:19,0.08888888888888888,,1.8666666666666667,,,,,0.06666666666666667,,,,,,0.26666666666666666,0.06666666666666667
2023-12-21 17:57:19,0.08888888888888888,,,,,,,,,,,,,,
2023-12-21 17:58:19,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,0.2,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,0.04444444444444444,
2023-12-21 17:59:19,0.08888888888888888,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 18:00:19,0.08888888888888888,,,,,,,,,,,,0.17777777777777776,,
2023-12-21 18:01:19,0.08888888888888888,1.5777777777777777,,,,,,0.06666666666666667,,,,,,,0.06666666666666667
2023-12-21 18:02:19,0.08888888888888888,,,,,,,,,,,,,0.26666666666666666,
