,"{namespace=""cluster-loader""}","{namespace=""test-i7hyhr-1""}"
2023-12-21 17:34:19,176.51144442963158,4995.785041010383
2023-12-21 17:35:19,153.29326666666668,10112.155778179771
2023-12-21 17:36:19,153.38764,17263.950525767796
2023-12-21 17:37:19,148.99117142857142,25820.70429000386
2023-12-21 17:38:19,159.2774,32183.182668650472
2023-12-21 17:39:19,157.5906,37986.51417874357
2023-12-21 17:40:19,156.42281538461538,43388.55384169741
2023-12-21 17:41:19,155.56644,47676.125993622
2023-12-21 17:42:19,155.9506431372549,48786.23515021152
2023-12-21 17:43:19,157.48085263157893,50041.42985860706
2023-12-21 17:44:19,157.05410476190474,51372.394851536
2023-12-21 17:45:19,156.7015739130435,53330.8919539385
2023-12-21 17:46:19,156.405448,57831.37262944506
2023-12-21 17:47:19,156.15319259259257,61175.75017034463
2023-12-21 17:48:19,155.93573103448276,62018.890731776
2023-12-21 17:49:19,155.74632903225807,63347.454718396664
2023-12-21 17:50:19,156.60001616161617,64739.609425548595
2023-12-21 17:51:19,158.4793085714286,66003.08863520158
2023-12-21 17:52:19,158.3452918918919,67315.91425021808
2023-12-21 17:53:19,158.2250205128205,68527.60027002219
2023-12-21 17:54:19,158.11648292682926,69674.0959156197
2023-12-21 17:55:19,158.01804186046513,70872.45881548233
2023-12-21 17:56:19,157.9283511111111,72239.37130355703
2023-12-21 17:57:19,157.84629361702127,73709.50027272366
2023-12-21 17:58:19,157.77093469387756,75154.27075414822
2023-12-21 17:59:19,159.72373725490195,76509.9276945779
2023-12-21 18:00:19,160.66821509433964,77817.4059443912
2023-12-21 18:01:19,160.60755272727272,79217.58883188081
2023-12-21 18:02:19,161.55940116959067,80926.32948371279
