,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-16 16:17:41,,34.910208
2023-08-16 16:18:41,35.966976,35.241984
2023-08-16 16:19:41,37.49888,37.036032
2023-08-16 16:20:41,38.342656,38.178816
2023-08-16 16:21:41,38.535168,38.100992
